Formula,Sites,Energy above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Bulk Modulus Voigt,Bulk Modulus Reuss,Bulk Modulus VRH,Shear Modulus Voigt,Shear Modulus Reuss,Shear Modulus VRH
Co,1,0.0,0.0,True,10.841542632772711,9.026471225712273,0.0,200.587,200.587,200.587,126.562,113.949,120.256
Co,6,0.199326275,0.199326275000001,False,66.6091255550891,8.815086984090783,0.0,,,,,,
Co,4,0.010616019999998,0.010616019999998,False,42.7539001077957,9.155737593091484,0.0,,,,,,
Co,28,0.119201809285714,0.119201809285714,False,312.4360523107799,8.7701288408035,0.0,,,,,,
Co,4,0.010144927499998,0.010144927499998,False,43.53825791953996,8.99079359563772,0.0,,,,,,
Co,1,0.089565734999998,0.089565734999998,False,11.030656874268672,8.871717589669283,0.0,,,,,,
Co,2,0.025098924999999,0.025098924999999,False,21.280274859645477,9.19733163810142,0.0,-1127.575,-1127.582,-1127.579,94.552,83.212,88.882
Co,46,0.117662390869567,0.117662390869567,False,518.2483778753971,8.686182789108294,0.0,,,,,,
Cr,2,0.335908380000001,0.335908380000001,False,23.00239265199828,7.507180376154436,0.0,,,,,,
Cr,28,0.263578245000001,0.263578245000003,False,336.9481722982685,7.174882515651355,0.0,,,,,,
Cr,8,0.357538657500001,0.357538657500001,False,91.86760105479368,7.518781757180536,0.0,252.155,252.155,252.155,121.922,110.367,116.144
Cr,1,0.402526340000001,0.402526340000001,False,11.500578123183354,7.507583917611,0.0,233.911,233.911,233.911,-126.145,-116.346,-121.246
Cr,2,0.420340105000001,0.420340105000001,False,23.175332656419798,7.451159958812742,0.0,,,,,,
Cr,2,0.0,0.0,True,26.16895772559837,6.5987767847843095,0.0,234.148,233.156,233.652,86.61,67.334,76.972
Cs,1,0.019341450000002,0.019341450000002,False,122.47682480324497,1.801930245976053,0.0,1.974,1.974,1.974,0.894,0.313,0.604
Cs,4,0.054916592068963,0.054916592068963,False,464.92642027528126,1.898749440080472,0.0,,,,,,
Cs,4,0.024368322499999,0.024368322499999,False,499.3868043549993,1.767725483488681,0.0,,,,,,
Cs,1,0.009248450000001,0.009248450000001,False,123.10401593422476,1.792749760186505,0.0,,,,,,
Cs,1,0.042207972068965,0.042207972068965,False,115.61619281972683,1.908856274035875,0.0,,,,,,
Cs,4,0.024276159999999,0.024276159999999,False,498.6387637742536,1.77037736395473,0.0,,,,,,
Cs,2,0.019877785000002,0.019877785000002,False,248.4302551853229,1.776713507615603,0.0,1.972,1.972,1.972,0.877,0.8300000000000001,0.854
